Sum of Count,Column Labels,,,,,,,
Row Labels,2007,2008,2009,2010,2011,Grand Total,,
"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",66,72,68,58,50,314,,0.305555556
Grand Total,66,72,68,58,50,314,,31%
